Section,Item,Statement,Guidance,Importance,Score,Response,Improvements
Information governance,1.1.1.,"You must gather and monitor the information governance requirements needed to fulfil any legal, regulatory and ethical standards.","Requirements will come from a variety of sources including legislation, contractual obligations and ethical standards.
Requirements must be monitored to ensure the TRE controls remain appropriate.",Mandatory,2,"ISO 27001
A5.31: Legal, statutory, regulatory and contractual requirements. Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements shall be identified, documented and kept up to date. 

Scottish Safe Haven charter
",
Information governance,1.1.2.,You must ensure controls are implemented to ensure the requirements are met.,Control implementation should be systematic and directly aligned to the internal and stakeholder requirements.,Mandatory,2,"ISO 27001 
A8.1: The organisation shall plan, implement and control the processes needed to meet information security requirements

DSPToolkit
A1b,  B1a, B1b, B2a, B2d, C1b

Scottish Safe Haven charter",
Information governance,1.1.3.,You must ensure there are adequate resources to meet information governance requirements.,Ensuring information governance controls are suitable and enforced requires an investment of funding and people appropriate to the size of the TRE.,Mandatory,2,"ISO 27001
A.1: Resources
The organisation shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system.

Scottish Safe Haven charter
",
Information governance,1.2.1.,You must ensure that changes to policies and standard operating procedures can only be made by trusted individuals.,"It is important to ensure that policies and SOPs are relevant, up-to-date and carefully controlled to maintain the integrity and security of your TRE organisation.",Mandatory,2,"ISO 27001
A5.1: Policies for Information Secuirty. Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.

Scottish Safe Haven charter

DSPToolkit
B1a, B1b 
Policy, Process and Procedure development and implementation",
Information governance,1.2.2.,You must use versioning and a codified change procedure for all policies and standard operating procedures.,"This includes recording dates of changes, person responsible for carrying out changes, and summary of changes.",Mandatory,2,"ISO 27001
A7.5.3 Documented information required by the information security management system and by this document shall be controlled to ensure:

a) it is available and suitable for use, where and when it is needed;
b) it is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity)

Scottish Safe Haven charter

DSPToolkit
B1a, B1b 
Policy, Process and Procedure development and implementation",
Information governance,1.2.3.,You should measure the performance of information governance within the TRE with regular reporting available to your TRE organisation’s management team.,"This may include reports and dashboards showing security incidents, quality management deviations and audit findings.",Recommended,2,"ISO 27001
Clause 9: Performance Evaluation

DSPToolkit
A2b
Assurance - although this can be interpreted in different ways for DSPT.",
Information governance,1.2.4.,You must audit your TRE organisation against relevant requirements and standards.,"If you are publicly accredited against a standard, for instance ISO27001, DSPT, CE+ *etc.*, you must have processes in place to ensure you remain compliant.",Mandatory,2,"ISO 27001
A5.35:Independent review of information security.The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.  

A5.36: Compliance with policies, rules and standards for information security. Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed.
Scottish Safe Haven charter

DSPToolkit
A2b
Assurance",
Information governance,1.2.5.,You must report on and share outcomes of each audit of your TRE organisation with the required bodies.,This may include regulatory bodies or the organisations that manage accreditations you have.,Mandatory,2,"ISO 27001
A5.6: Contact with authorities. The organization shall establish and maintain contact with relevant authorities.

Scottish Safe Haven charter

DSPToolkit
D2b
Using incidents and near misses to drive improvement.",
Information governance,1.2.6.,"You must ensure that suppliers, contractors and sub-contractors with access to your TRE align with your security requirements.","These should be included as mandatory, non-functional requirements in during procurement and contracting.
This will also include contractor staff contracts for example, legal liability and NDAs.",Mandatory,2,"ISO 27001
A5.19: Information security in supplier relationships.Processes and procedures shall be defined and implemented to manage the information security risks associated with the use of supplier’s products or services.
A5.20: Addressing information security within supplier agreements. Relevant information security requirements shall be established and agreed with each supplier based on the type of supplier relationship.
A5.21: Managing information security in the information and communication technology (ICT) supply chain. 
A5.23: Processes and procedures shall be defined and implemented to manage the information security risks associated with the ICT products and services supply chain.

DSPToolkit 
B1a, B1b,B2a, B2d
Policy, Process, and Procedure development and implementation
Identity verification, authentication and authorisation
Identity and Access Management",
Information governance,1.2.7.,You must monitor compliance of your suppliers with the terms of the contracts.,"This will include monitoring changes in the services and infrastructure being delivered and quality management within the contractor’s organisation.
This may be done through formal audit or by monitoring change and quality documentation provided by the supplier.",Mandatory,2,"ISO 27001
A5.22: Monitoring, review and change management of supplier services. The organization shall regularly monitor, review, evaluate and manage change in supplier information security practices and service delivery.

DSPToolkit
A4a
Supply chain",
