Section,Item,Statement,Guidance,Importance,Score,Response: ISO 27001,Response: DEA Security,Response: DEA Capability,
Information governance,1.1.1.,"You must gather and monitor the information governance requirements needed to fulfil any legal, regulatory and ethical standards.","Requirements will come from a variety of sources including legislation, contractual obligations and ethical standards.
Requirements must be monitored to ensure the TRE controls remain appropriate.",Mandatory,2,"A5.31: Legal, statutory, regulatory and contractual requirements. Legal, statutory, regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements shall be identified, documented and kept up to date. ","A-1: An applicant must be a 'fit and proper person' to be involved in processing before they can be accredited as a processor. Provide evidence to confirm they have sufficient skills, experience, technical infrastructure and policies in place to demonstrate they are a fit and proper person. Demonstrate a record of appropriate compliance with UK laws, in particular laws relevant to processing activities and the use of data.

A-2: Applicants are legally accountable for the work they carry out under relevant legislation. Only processors subject to UK legal jurisdiction are eligible for accreditation. Confirm and evidence that all processing is performed subject to relevant UK legislation.  

O-1: The applicant has identified and recorded any legal, statutory, and regulatory codes they are required to comply with.

O-4: The organisation's privacy information is fully compliant with the requirements of UKGDPR. ","C.1.1. Maintain sufficiently detailed records, including any accreditation conditions, of all projects in the processor’s environment. 
 
 C.1.2: Monitor research taking place in the processor’s environment, identify and report any significant deviation from accredited project conditions.
 
 C.1.5: Ethical frameworks in place for all DEA accredited projects and all ethics processes in the processor’s environment remain transparent and auditable.
 
 C.2.1. Maintain clear and consistent records of legal agreements that outline how 
 data is accessed, processed, and used in the environment.",
Information governance,1.1.2.,You must ensure controls are implemented to ensure the requirements are met.,Control implementation should be systematic and directly aligned to the internal and stakeholder requirements.,Mandatory,2,"A8.1: The organisation shall plan, implement and control the processes needed to meet information security requirements",,,
Information governance,1.1.3.,You must ensure there are adequate resources to meet information governance requirements.,Ensuring information governance controls are suitable and enforced requires an investment of funding and people appropriate to the size of the TRE.,Mandatory,2,"A.1: Resources
The organisation shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system.","C-1: Lead responsibility for the strategic direction and oversight of information security has been assigned at an appropriately senior level. Evidence of responsibility being formally assigned, for example Job Descriptions or employment contracts. Evidence that the relevant individual is actively involved in overseeing information security. 

C-2: Operational responsibility has been appropriately assigned for the development, implementation, and ongoing management of information security within the organization. Evidence of operational level security roles, including Job Descriptions or employment contracts. Organizational structure or map document demonstrating suitable and effective positioning of the role. 

C-3: A steering group or forum meets regularly to monitor information security across the organization, and to facilitate communication regarding information security. Evidence of existence of an information security steering group, working group, or forum, including membership lists, meeting schedules, draft or standard agendas, minutes, and outputs. 

C-5: Staff in security related specialist roles, or in roles with potentially significant impact on information security, have been assessed to see whether they should receive additional information security training relevant to their roles, and where appropriate that training has been provided. Evidence of training needs analysis, and of the content of specialist training. Evidence that specialist training is tracked and where necessary refreshed on a regular basis. 

D-6: Resourcing of information security roles is sufficient for the context of the organisation. Organisational chart, minutes of resourcing discussions, emails considering resourcing, etc.  ",,
Information governance,1.2.1.,You must ensure that changes to policies and standard operating procedures can only be made by trusted individuals.,"It is important to ensure that policies and SOPs are relevant, up-to-date and carefully controlled to maintain the integrity and security of your TRE organisation.",Mandatory,2,"A5.1: Policies for Information Secuirty. Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.
","A-4: The applicant must have a documented and effective policy framework in place to manage the use of data for research purposes. Provide evidence that a policy framework is in place covering the key areas identified by the Research Code of Practice, including: 

          - secure environments; 
          - major incident protocol; 
          - de-identification of data; 
          - data confidentiality breaches; 
          - data retention and destructions. 

These policies should be subject to a standardized approach to documentation, though do not have to be standalone policies and may be combined if appropriate to the context of the organization; should be subject to regular reviews; should be subject to senior management ownership and authorization; must be available to all relevant staff; and staff awareness should be tracked where relevant and appropriate. 

B-1: Effective policies for information security have been documented and approved by management. Provide evidence that a relevant and comprehensive suite of information security policies are in place and subject to approval and ownership by the appropriate senior management, including providing copies of the policies.

B-2: Information security policies are effectively communicated and disseminated to staff, ensuring their availability to staff. Provide evidence that policies are communicated to staff effectively, that staff engagement with policies is tracked or recorded, and that policies are stored somewhere accessible by relevant staff. ","Partly covered by a combination of:
 
 C.2.5: Policies and procedures in place and tested to ensure reasonable deidentification of data. 
 
 C.2.6: Policies and evidenced procedures for the retention of all different data instances.
 
 C.4.6: Processor provides access to policies and procedures on how researchers can interact with code repositories in the environment before researchers access the environment.",
Information governance,1.2.2.,You must use versioning and a codified change procedure for all policies and standard operating procedures.,"This includes recording dates of changes, person responsible for carrying out changes, and summary of changes.",Mandatory,2,"A7.5.3 Documented information required by the information security management system and by this document shall be controlled to ensure:

a) it is available and suitable for use, where and when it is needed;
b) it is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity)","B-3: Information security policies are subject to regular and effective review by appropriate staff. Provide evidence of reviews being carried out, who has carried them out, and records of what changes have been made by these reviews.",,
Information governance,1.2.3.,You should measure the performance of information governance within the TRE with regular reporting available to your TRE organisation’s management team.,"This may include reports and dashboards showing security incidents, quality management deviations and audit findings.",Recommended,2,Clause 9: Performance Evaluation.,"O-2: The applicant can demonstrate compliance with any legal, statutory, or regulatory codes they have identified in control O-1.","Partly covered by a combination of: 
 C.5.1. Share relevant information on its performance. 
 
 C.5.2. Share relevant information on confirmed breaches and near misses by 
 individuals and organisations. 
 
 Use of management information is one component of the maturity assessment for most other controls.",
Information governance,1.2.4.,You must audit your TRE organisation against relevant requirements and standards.,"If you are publicly accredited against a standard, for instance ISO27001, DSPT, CE+ *etc.*, you must have processes in place to ensure you remain compliant.",Mandatory,2,"A5.35:Independent review of information security.The organization’s approach to managing information security and its implementation including people, processes and technologies shall be reviewed independently at planned intervals, or when significant changes occur.  

A5.36: Compliance with policies, rules and standards for information security. Compliance with the organization’s information security policy, topic-specific policies, rules and standards shall be regularly reviewed.","O-6: Information security reviews or audits are undertaken internally to ensure that information security is implemented and operated in accordance with the organisational policies and procedures

O-7: External information security reviews or audits are undertaken to ensure that information security is implemented and effective

O-8: The organisation maintains certification to relevant information security accreditations, for example ISO 27001, Cyber Essentials Plus, NIST CSF, etc. ","C.1.1 Maintain sufficiently detailed records, including any accreditation conditions, of all projects in the processor’s environment. 
 
 C.1.5 Ethical frameworks in place for all DEA accredited projects and all ethics processes in the processor’s environment remain transparent and auditable.
 
 C.2.1. Maintain clear and consistent records of legal agreements that outline how 
 data is accessed, processed, and used in the environment. 
 
 C.5.6: Evidenced process to alert the accrediting body of any changes that might impact the conditions of its accreditation.",
Information governance,1.2.5.,You must report on and share outcomes of each audit of your TRE organisation with the required bodies.,This may include regulatory bodies or the organisations that manage accreditations you have.,Mandatory,2,A5.6: Contact with authorities. The organization shall establish and maintain contact with relevant authorities.,,"C.5.1. Share relevant information on its performance.
 
 C.5.2. Share relevant information on confirmed breaches and near misses by individuals and organisations.
 
 C.5.6. Evidenced process to alert the accrediting body of any changes that might impact the conditions of its accreditation.",
Information governance,1.2.6.,"You must ensure that suppliers, contractors and sub-contractors with access to your TRE align with your security requirements.","These should be included as mandatory, non-functional requirements in during procurement and contracting.
This will also include contractor staff contracts for example, legal liability and NDAs.",Mandatory,2,"A5.19: Information security in supplier relationships.Processes and procedures shall be defined and implemented to manage the information security risks associated with the use of supplier’s products or services.
A5.20: Addressing information security within supplier agreements. Relevant information security requirements shall be established and agreed with each supplier based on the type of supplier relationship.
A5.21: Managing information security in the information and communication technology (ICT) supply chain. 
A5.23: Processes and procedures shall be defined and implemented to manage the information security risks associated with the ICT products and services supply chain.
","L-1: Contracts and agreements are in place with IT suppliers, include relevant information security requirements, and allows for auditing by the applicant. Copies of agreements and contracts. 

F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. 

F-8: Processes are in place to ensure that default passwords are changed, and to control the use of shared passwords. Evidence of default passwords being changed. Rules regarding the sharing of passwords. ",,
Information governance,1.2.7.,You must monitor compliance of your suppliers with the terms of the contracts.,"This will include monitoring changes in the services and infrastructure being delivered and quality management within the contractor’s organisation.
This may be done through formal audit or by monitoring change and quality documentation provided by the supplier.",Mandatory,2,"A5.22: Monitoring, review and change management of supplier services. The organization shall regularly monitor, review, evaluate and manage change in supplier information security practices and service delivery.","L-2: Supplier performance is subject to monitoring, review, and auditing. Evidence of monitoring and review.",,
