Section,Item,Statement,Guidance,Importance,Score,Response,Improvements
Information governance,1.1.1.,"You must gather and monitor the information governance requirements needed to fulfil any legal, regulatory and ethical standards.","Requirements will come from a variety of sources including legislation, contractual obligations and ethical standards.
Requirements must be monitored to ensure the TRE controls remain appropriate.",Mandatory,2,"We systematically gather and monitor information governance requirements from relevant legislation (e.g. UK GDPR, DPA 2018), contractual obligations, and ethical standards. These are reviewed regularly to ensure that the SDE’s controls remain appropriate and aligned with evolving legal, regulatory, and ethical expectations",
Information governance,1.1.2.,You must ensure controls are implemented to ensure the requirements are met.,Control implementation should be systematic and directly aligned to the internal and stakeholder requirements.,Mandatory,2,"We implement controls in a systematic and structured manner, directly aligned with identified legal, contractual, and ethical requirements. These controls are mapped to specific obligations and reviewed regularly to ensure ongoing compliance and stakeholder assurance",
Information governance,1.1.3.,You must ensure there are adequate resources to meet information governance requirements.,Ensuring information governance controls are suitable and enforced requires an investment of funding and people appropriate to the size of the TRE.,Mandatory,2,"We have dedicated staff in place to ensure that information governance controls are appropriate, implemented effectively, and enforced. Resourcing is proportionate to the scale and complexity of the SDE, with ongoing investment to support compliance and continuous improvement",
Information governance,1.2.1.,You must ensure that changes to policies and standard operating procedures can only be made by trusted individuals.,"It is important to ensure that policies and SOPs are relevant, up-to-date and carefully controlled to maintain the integrity and security of your TRE organisation.",Mandatory,2,SOPs and policies can only be updated by designated members of the SDE team. SOPs and policies are kept up to date and relevant to the SDE. ,
Information governance,1.2.2.,You must use versioning and a codified change procedure for all policies and standard operating procedures.,"This includes recording dates of changes, person responsible for carrying out changes, and summary of changes.",Mandatory,2,Polciies and SOPS are versioned and tracked documents in Confluence,
Information governance,1.2.3.,You should measure the performance of information governance within the TRE with regular reporting available to your TRE organisation’s management team.,"This may include reports and dashboards showing security incidents, quality management deviations and audit findings.",Recommended,1,We have no regular reporting as yet.,As part of our ISO127001 certification and engagement with the SDE network we are improving our reporting and establishing appropriate processes for regular and review  and quality management
Information governance,1.2.4.,You must audit your TRE organisation against relevant requirements and standards.,"If you are publicly accredited against a standard, for instance ISO27001, DSPT, CE+ *etc.*, you must have processes in place to ensure you remain compliant.",Mandatory,2,"Yes, ISO27001 and DSPT",
Information governance,1.2.5.,You must report on and share outcomes of each audit of your TRE organisation with the required bodies.,This may include regulatory bodies or the organisations that manage accreditations you have.,Mandatory,2,We will report when there is a need.,
Information governance,1.2.6.,"You must ensure that suppliers, contractors and sub-contractors with access to your TRE align with your security requirements.","These should be included as mandatory, non-functional requirements in during procurement and contracting.
This will also include contractor staff contracts for example, legal liability and NDAs.",Mandatory,2,Contracts include details of requirements for all access to the SDE and security requriements ,
Information governance,1.2.7.,You must monitor compliance of your suppliers with the terms of the contracts.,"This will include monitoring changes in the services and infrastructure being delivered and quality management within the contractor’s organisation.
This may be done through formal audit or by monitoring change and quality documentation provided by the supplier.",Mandatory,2,Changes to the platform are agreed in regular meetings with third parties.  The SDE team maintain the overall security perimiter unless specific requirements prevent.,
Information governance,1.2.8.,You must track and maintain any physical assets used by your TRE.,"All physical assets should be maintained and covered by warranty if applicable.
At the end of their lifetime, assets should be securely disposed of in such a way that data cannot be recovered from them.",Mandatory (where physical assets are in scope),NA,,
Information governance,1.2.9.,"You must log, track and resolve any issues resulting from deviations from processes, incidents and audit findings.","This process could, for example, be tracked through an electronic record and workflow system with records retained.",Mandatory,2,"JIRA service desk is used to track security incidents and resoluition, along side CUH escalation/reporting where relevant.",
Information governance,1.2.10.,"You must use reported issues to inform changes, such as for process improvement and risk management.",All issues should be analysed for their root cause and improvements put in place to prevent further occurrence.,Mandatory,2,Incident response plan includes process / technical feedback and improvement processes.,
Information governance,1.2.11.,You should collect and maintain quality management data for measuring the effectiveness of a TRE.,"Large amounts of data will be produced by elements within the TRE.
These data should be analysed with reports and dashboards provided to guide TRE implementer’s improvements and provide re-assurance to data consumers and data subjects.",Recommended,1,"Data QC is embedded in the data transformation processes generating reports.  Tooling deployed within GDPR boundary of data provider provides high level information.  Utility of other dashboards will be assessed based on user feedback, not built without a direct requirement.",
Information governance,1.2.12.,"You could use a QMS (Quality Management System) to standardise and automate quality management tasks and workflows, and to generate quality data and reports automatically.","A basic QMS could be a set of spreadsheets or documents held in a repository which are manually maintained.
More mature applications will provide workflows and generate quality data through manual and automated actions.",Optional,N/A,,
Information governance,1.3.1.,You must have a way to score risk to understand the underlying severity.,You have a risk assessment methodology for scoring risks on multiple axes such as impact and likelihood.,Mandatory,2,We have a risk scoring matrix for evaluating impact and likelihood.,
Information governance,1.3.2.,You must carry out a data processing assessment for all projects requiring a TRE.,"A data processing assessment is a process designed to identify risks arising out of the processing of sensitive data and to minimise these risks as far and as early as possible.
This may take the form of an existing regulatory requirements such as Data Protection Impact Assessment.",Mandatory,2,"The SDE complies with HRA guidance that DPIAs are not requried for specific projects. A data processing assessment is embedded within the structures of the SDE, including our REC and CAG approvals. Where data contributors require a DPIA, we support them with this. ",
Information governance,1.3.3.,"You must have a process for designing, implementing and recording risk mitigations where indicated by a risk assessment.",Actions that are taken or not taken following a risk assessment must be recorded.,Mandatory,2,"We have a defined process for designing, implementing, and recording risk mitigations following risk assessments. Mitigation strategies are developed and implemented during monthly risk meetings, and actions taken are documented in the risk register, including responsible parties and timelines. The effectiveness of these mitigations is reviewed regularly, and adjustments are made as necessary to ensure continuous improvement. ",
Information governance,1.3.4.,You must have a clear set of roles and responsibilities relating to risk including who owns risks and how they are escalated and delegated.,"The highest level of risk ownership is the Top Management of the TRE organisation (see Governance Roles).
In order to ensure escalations to this level are rare, suitable structures should be put in place to own, mitigate and accept risk.",Mandatory,2,"We have a defined risk management structure with clear roles and responsibilities. Risks are owned at appropriate levels, with operational risks managed by designated leads and strategic risks escalated to top management. Escalation pathways and delegation processes are documented to ensure timely and proportionate responses.",
Information governance,1.3.5.,You must understand the risk appetite of your TRE organisation.,"This includes understanding ownership of risk, and ability to accept risk which falls outside of the appetite should that become necessary.",Mandatory,2,"Our organisation understands its risk appetite, which is reflected in our risk management process. Risks are assessed and owned by relevant stakeholders, with mitigations put in place where necessary. In cases where risks fall outside the acceptable appetite, we have a process for escalation, allowing for informed decision-making regarding whether to accept the risk or implement further controls. This ensures that we manage risks within the defined appetite and are prepared to make adjustments as needed.
",
Information governance,1.4.1.,"You must have checks in place to ensure a project has the legal, financial and ethical requirements in place for the duration of the project.","This includes checks that contracts are in place where required, adequate funding is available for the duration of the project, and responsibilities concerning data handling are understood by all parties.",Mandatory,2,"As part of our approvals process, contracts are put in place with organsiations requesting access to data in the SDE, including funding responsibiltiies. Responsibilties concerning data handling are address through technical controls in the SDE and contractual controls as part of the approvals process. ",
Information governance,1.4.2.,You must have checks in place to ensure that any time limited compliance requirements are maintained.,"This includes ensuring contracts remain in valid and action is promptly taken should they expire.
Any changes in the status of responsible persons should also be monitored, for example a data owner leaving an organisation.",Mandatory,2,"Contracts tracking is the responsibility of CUH. Researchers and their employing organsiations are responsible for informing us if those accessing data leave their organisation. 
",
Information governance,1.4.3.,You must have checks in place to ensure that changes in regulations are met for a project.,,Mandatory,2,CUH have an R&D team who ensure theya re up to date with changes in regulation and will ensure any changes affecting the SDE are enacted ,
Information governance,1.4.4.,"You must have standard processes in place for the end of a project, that follow all legal requirements and data security best practice.",This includes the archiving of quality and log data along with the archiving or deletion of data sets.,Mandatory,2,An off-boarding process exists for users and data.  Data retention is automated as part of project lifecycle - agreed at project initiation and reviewed at project end.,
Information governance,1.4.5.,You could implement a portal that can provide a workflow engine and database which automates the processes within this capability.,"A portal should automate as much of the processes within the capability as possible.
Where processes are automated, process maturity is easier to achieve, with more consistent completion and automatic production of quality control and monitoring data.",Optional,1,"Management of data, users and airlock following project acceptance is via automated workflows which feed into a JIRA ticketing system to highlight action points.
End of project notifications are not implemented as yet.",
Information governance,1.4.6.,You must keep a complete record of all the data assets held within the system.,"Details of all data assets (current and past) held by the system should be retained along with meta-data useful for ensuring compliance can be demonstrated.
This would include ownership, data lifecycle, contracts, risk assessments and other quality data.
This is likely to already exist within the wider organisation but may require augmenting for the TRE.",Mandatory,2,"Details are held across various formats including the data access request form, public data use register and the SDE platform.  Changes to user access and data retention are also held in the SDE platform as part of the project configuration.",
Information governance,1.4.7.,You should keep a complete record of all the research studies and projects within the TRE current and past.,"The study register should contain all data related to a study including a reference to data assets, project team members, information asset owners and any compliance activities required.",Recommended,2,A public data user register is available on the EoE-SDE website detailing all projects.,
Information governance,1.5.1.,"You must have a robust method for identifying accredited members of your TRE organisation, prior to their accessing of sensitive data.",This may include ID checks or email/phone verification.,Mandatory,2,Memebrs of the SDE team will either be CUH employees or have appropriate research passports before accessing sensitive data. ,
Information governance,1.5.2.,You must have clear onboarding processes in place for all roles within your TRE organisation.,This may include all members signing role-specific terms of use or confirming that they have completed role specific training.,Mandatory,1,Members of the SDE team are requried to undertake CUH mandatory training,
Information governance,1.5.3.,You must have a set of services to manage access to resources based on identity.,This will include a security model for role based access with technical controls to ensure the principle of least privilege is enforced.,Mandatory,2,"Role based access manages engineering, data management, audit and researcher roles",
Information governance,1.5.4.,You must not give anyone access to datasets without agreement from the Data Controller.,The Data Controller may choose to delegate this authority.,Mandatory,2,The data controller delegates this authority to the CUH as the host organisation. Data access decisions are made through the SDE data access committee. ,
Information governance,1.5.5.,You must have robust and secure applications in place to authenticate users (and services) within the TRE.,"The number of authentication applications should be kept to a minimum with common controls and standards applied across all such as MFA, password complexity *etc.*.",Mandatory,2,"Platform access via SSO+MFA, VDI sessions protected by additional user/password when locked (independent from user device screen lock). Ingress of non-standard tool will be reviewed. ",
Information governance,1.5.6.,You must give each user of the TRE a unique logon with changes to any records strictly controlled.,"The unique identifier and all associated records for a user should be traceable across the entire TRE.
This will include training records, affiliations, contract agreements and ethics approvals where required.",Mandatory,2,"User is identified by SSO email account, tracable through entire system (indirectly in platform logs).",
